State,Solution
"[4, 6, 4, 2, 2, 10, 10, 4, 3, 8, 1, 8, 1, 9, 4, 9, 1, 2]",p011100 r-41000 r+40111 p001100 r-31100 r+60011 p000100 r+20001 r-21110 p010100 r-10101 r+01010 p010000 r+40100 r-21011 p110000 r-41100 r+00011 p110100 r-11101 r-40010
"[3, 9, 11, 0, 3, 2, 3, 0, 3, 1, 9, 9, 5, 2, 3, 9, 7, 9]",p011100 r-51000 r+40111 p001100 r+41100 r+20011 p000100 r-30001 r-51110 p010100 r+40101 r+61010 p010000 r-60100 r-71011 p110000 r+31100 r+40011 p110100 r+51101 r+50010
"[3, 6, 10, 6, 0, 6, 4, 9, 8, 2, 8, 9, 0, 5, 3, 4, 11, 8]",p011100 r+61000 r-40111 p001100 r-41100 r-30011 p000100 r-30001 r+21110 p010100 r+20101 r+11010 p010000 r+60100 r-51011 p110000 r+01100 r-40011 p110100 r+21101 r-30010
"[8, 6, 3, 11, 11, 7, 6, 2, 6, 9, 1, 4, 3, 2, 3, 6, 8, 6]",p011100 r+61000 r-20111 p001100 r+51100 r+50011 p000100 r+30001 r-41110 p010100 r+60101 r+31010 p010000 r-50100 r+51011 p110000 r+51100 r-20011 p110100 r+11101 r+10010
"[10, 3, 5, 2, 11, 7, 4, 9, 7, 7, 5, 2, 4, 11, 8, 5, 10, 8]",p011100 r+11000 r+20111 p001100 r+21100 r-20011 p000100 r-20001 r-21110 p010100 r-40101 r+01010 p010000 r+40100 r+31011 p110000 r-11100 r+10011 p110100 r+41101 r+60010
"[9, 11, 0, 11, 2, 6, 2, 0, 10, 0, 5, 3, 5, 11, 5, 2, 7, 10]",p011100 r+41000 r-10111 p001100 r+21100 r+60011 p000100 r-20001 r-61110 p010100 r+30101 r+31010 p010000 r-30100 r+21011 p110000 r+01100 r+00011 p110100 r-51101 r+60010
"[5, 6, 5, 7, 0, 4, 2, 0, 3, 7, 8, 7, 8, 11, 3, 9, 3, 10]",p011100 r-41000 r+30111 p001100 r+01100 r+40011 p000100 r+00001 r+11110 p010100 r+00101 r-31010 p010000 r-60100 r-10011 p110000 r+11100 r+00011 p110100 r-21101 r+30010
"[3, 8, 11, 10, 5, 5, 2, 10, 4, 1, 1, 9, 3, 7, 0, 8, 3, 10]",p011100 r+41000 r+30111 p001100 r+31100 r-50011 p000100 r+50001 r-21110 p010100 r+30101 r+11010 p010000 r-90100 r-31011 p110000 r+21100 r-20011 p110100 r-41101 r+60010
"[7, 8, 0, 11, 6, 6, 7, 11, 10, 0, 6, 5, 4, 5, 11, 2, 11, 5]",p011100 r+61000 r-10111 p001100 r+01100 r-50011 p000100 r+50001 r-41110 p010100 r-30101 r+01010 p010000 r+20100 r+21011 p110000 r+31100 r+20011 p110100 r+51101 r-10010
"[1, 11, 5, 6, 1, 2, 0, 8, 9, 7, 0, 11, 3, 1, 9, 3, 4, 0]",p011100 r-31000 r-30111 p001100 r-51100 r+60011 p000100 r-50001 r-21110 p010100 r-10101 r+51010 p010000 r-20100 r-41011 p110000 r-51100 r-30011 p110100 r-31101 r+10010
"[11, 11, 9, 8, 5, 7, 3, 2, 1, 3, 0, 1, 9, 6, 9, 11, 1, 9]",p011100 r+51000 r-50111 p001100 r+41100 r+50011 p000100 r-30001 r+21110 p010100 r-20101 r+41010 p010000 r+60100 r+61011 p110000 r-31100 r+30011 p110100 r-31101 r+60010
"[10, 10, 6, 6, 3, 2, 6, 3, 0, 6, 7, 2, 5, 1, 7, 0, 2, 6]",p011100 r-11000 r+00111 p001100 r-51100 r-10011 p000100 r+00001 r-51110 p010100 r+20101 r-21010 p010000 r-50100 r+61011 p110000 r-41100 r+20011 p110100 r+51101 r+60010
"[1, 7, 8, 11, 11, 3, 4, 11, 6, 4, 4, 11, 10, 5, 4, 6, 1, 8]",p011100 r+41000 r+00111 p001100 r-31100 r+40011 p000100 r+00001 r+01110 p010100 r-50101 r+51010 p010000 r-40100 r+41011 p110000 r+41100 r+60011 p110100 r+21101 r+10010
"[4, 6, 0, 1, 6, 5, 7, 9, 5, 0, 5, 8, 10, 11, 1, 7, 4, 5]",p011100 r-51000 r-40111 p001100 r+31100 r-40011 p000100 r-90001 r-31110 p010100 r-30101 r+11010 p010000 r+00100 r+21011 p110000 r-51100 r-50011 p110100 r-51101 r+60010
"[8, 4, 8, 11, 5, 6, 11, 2, 7, 4, 5, 4, 6, 3, 0, 5, 2, 1]",p011100 r+11000 r-30111 p001100 r+21100 r+40011 p000100 r-30001 r-31110 p010100 r+00101 r+21010 p010000 r-10100 r-81011 p110000 r-51100 r-10011 p110100 r+31101 r-20010
